match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
England Vs Afghanistan,Afghanistan,Fareed Ahmad,2,0,23,1,11.50,2,2,0,1,0,T20I # 1840
England Vs Afghanistan,Afghanistan,Mohammad Nabi,3,0,16,1,5.33,6,0,0,0,0,T20I # 1840
Sri Lanka Vs Ireland,Sri Lanka,Binura Fernando,4,0,27,1,6.75,10,3,0,1,0,T20I # 1841
Sri Lanka Vs Ireland,Sri Lanka,Lahiru Kumara,2,0,12,1,6.00,6,2,0,0,0,T20I # 1841
Sri Lanka Vs Ireland,Sri Lanka,Maheesh Theekshana,4,0,19,2,4.75,8,1,0,0,0,T20I # 1841
Sri Lanka Vs Ireland,Sri Lanka,Chamika Karunaratne,4,0,29,1,7.25,7,2,1,0,0,T20I # 1841
Sri Lanka Vs Ireland,Sri Lanka,Wanindu Hasaranga,4,0,25,2,6.25,6,0,1,0,0,T20I # 1841
Sri Lanka Vs Ireland,Sri Lanka,Dhananjaya de Silva,2,0,13,1,6.50,3,1,0,0,0,T20I # 1841
Sri Lanka Vs Ireland,Ireland,Josh Little,4,0,45,0,11.25,5,4,1,1,0,T20I # 1841
Sri Lanka Vs Ireland,Ireland,Mark Adair,2,0,16,0,8.00,2,1,0,0,0,T20I # 1841
Sri Lanka Vs Ireland,Ireland,Barry McCarthy,2,0,16,0,8.00,4,0,1,0,0,T20I # 1841
Sri Lanka Vs Ireland,Ireland,Gareth Delany,4,0,28,1,7.00,8,3,0,2,0,T20I # 1841
Sri Lanka Vs Ireland,Ireland,Curtis Campher,1,0,8,0,8.00,2,1,0,0,0,T20I # 1841
Sri Lanka Vs Ireland,Ireland,Simi Singh,2,0,20,0,10.00,3,0,2,0,0,T20I # 1841
India Vs Pakistan,India,Bhuvneshwar Kumar,4,0,22,1,5.50,17,1,1,3,0,T20I # 1842
India Vs Pakistan,India,Arshdeep Singh,4,0,32,3,8.00,10,3,1,1,0,T20I # 1842
India Vs Pakistan,India,Mohammed Shami,4,0,25,1,6.25,14,4,0,1,0,T20I # 1842
India Vs Pakistan,India,Hardik Pandya,4,0,30,3,7.50,10,4,0,0,0,T20I # 1842
India Vs Pakistan,India,Ravichandran Ashwin,3,0,23,0,7.66,5,0,1,1,0,T20I # 1842
India Vs Pakistan,India,Axar Patel,1,0,21,0,21.00,2,0,3,0,0,T20I # 1842
India Vs Pakistan,Pakistan,Shaheen Shah Afridi,4,0,34,0,8.50,7,4,0,1,0,T20I # 1842
India Vs Pakistan,Pakistan,Naseem Shah,4,0,23,1,5.75,10,1,0,0,0,T20I # 1842
India Vs Pakistan,Pakistan,Haris Rauf,4,0,36,2,9.00,11,2,2,1,0,T20I # 1842
India Vs Pakistan,Pakistan,Shadab Khan,4,0,21,0,5.25,10,2,0,0,0,T20I # 1842
India Vs Pakistan,Pakistan,Mohammad Nawaz,4,0,42,2,10.50,8,0,4,2,1,T20I # 1842
Netherlands Vs Bangladesh,Netherlands,Fred Klaassen,4,0,33,1,8.25,10,5,0,3,0,T20I # 1843
Netherlands Vs Bangladesh,Netherlands,Colin Ackermann,1,0,4,0,4.00,2,0,0,0,0,T20I # 1843
Netherlands Vs Bangladesh,Netherlands,Paul van Meekeren,4,0,21,2,5.25,10,1,0,0,0,T20I # 1843
Netherlands Vs Bangladesh,Netherlands,Bas de Leede,3,0,29,2,9.66,9,3,1,3,0,T20I # 1843
Netherlands Vs Bangladesh,Netherlands,Tim Pringle,2,0,10,1,5.00,4,0,0,0,0,T20I # 1843
Netherlands Vs Bangladesh,Netherlands,Shariz Ahmad,3,0,27,1,9.00,5,1,2,0,0,T20I # 1843
Netherlands Vs Bangladesh,Netherlands,Logan van Beek,3,0,12,1,4.00,7,0,0,1,0,T20I # 1843
Netherlands Vs Bangladesh,Bangladesh,Taskin Ahmed,4,0,25,4,6.25,16,5,0,0,0,T20I # 1843
Netherlands Vs Bangladesh,Bangladesh,Hasan Mahmud,4,1,15,2,3.75,16,2,0,0,0,T20I # 1843
Netherlands Vs Bangladesh,Bangladesh,Shakib Al Hasan,4,0,32,1,8.00,6,0,2,1,0,T20I # 1843
Netherlands Vs Bangladesh,Bangladesh,Mustafizur Rahman,4,0,20,0,5.00,14,2,0,2,0,T20I # 1843
Netherlands Vs Bangladesh,Bangladesh,Soumya Sarkar,3,0,29,1,9.66,5,2,1,1,0,T20I # 1843
Netherlands Vs Bangladesh,Bangladesh,Mosaddek Hossain,1,0,14,0,14.00,0,0,1,0,1,T20I # 1843
South Africa Vs Zimbabwe,South Africa,Kagiso Rabada,2,0,20,0,10.00,4,2,1,0,0,T20I # 1844
South Africa Vs Zimbabwe,South Africa,Wayne Parnell,2,0,6,1,3.00,9,1,0,0,0,T20I # 1844
South Africa Vs Zimbabwe,South Africa,Lungi Ngidi,2,0,20,2,10.00,6,2,1,2,0,T20I # 1844
South Africa Vs Zimbabwe,South Africa,Keshav Maharaj,1,0,10,0,10.00,1,1,0,0,0,T20I # 1844
South Africa Vs Zimbabwe,South Africa,Anrich Nortje,2,0,10,1,5.00,5,0,0,0,0,T20I # 1844
South Africa Vs Zimbabwe,Zimbabwe,Tendai Chatara,1,0,23,0,23.00,0,4,1,0,0,T20I # 1844
South Africa Vs Zimbabwe,Zimbabwe,Richard Ngarava,1,0,17,0,17.00,2,4,0,0,1,T20I # 1844
South Africa Vs Zimbabwe,Zimbabwe,Sikandar Raza,1,0,11,0,11.00,1,0,0,0,1,T20I # 1844
Australia Vs Sri Lanka,Australia,Josh Hazlewood,4,0,26,1,6.50,13,3,0,3,0,T20I # 1845
Australia Vs Sri Lanka,Australia,Pat Cummins,4,0,36,1,9.00,12,5,1,2,0,T20I # 1845
Australia Vs Sri Lanka,Australia,Mitchell Starc,4,0,23,1,5.75,13,1,0,1,0,T20I # 1845
Australia Vs Sri Lanka,Australia,Ashton Agar,4,0,25,1,6.25,8,1,0,1,0,T20I # 1845
Australia Vs Sri Lanka,Australia,Marcus Stoinis,2,0,17,0,8.50,1,1,0,1,0,T20I # 1845
Australia Vs Sri Lanka,Australia,Mitchell Marsh,1,0,14,0,14.00,1,1,1,0,0,T20I # 1845
Australia Vs Sri Lanka,Australia,Glenn Maxwell,1,0,5,1,5.00,2,0,0,0,0,T20I # 1845
Australia Vs Sri Lanka,Sri Lanka,Binura Fernando,0.5,0,5,0,6.00,2,0,0,0,0,T20I # 1845
Australia Vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,2.1,0,18,1,8.30,4,1,1,0,0,T20I # 1845
Australia Vs Sri Lanka,Sri Lanka,Lahiru Kumara,3.3,0,22,0,6.28,15,0,1,3,0,T20I # 1845
Australia Vs Sri Lanka,Sri Lanka,Chamika Karunaratne,3,0,20,1,6.66,6,1,0,1,0,T20I # 1845
Australia Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,3,0,23,1,7.66,11,0,3,1,0,T20I # 1845
Australia Vs Sri Lanka,Sri Lanka,Wanindu Hasaranga,3,0,53,0,17.66,0,3,5,0,0,T20I # 1845
Australia Vs Sri Lanka,Sri Lanka,Dasun Shanaka,1,0,10,0,10.00,2,2,0,0,0,T20I # 1845
England Vs Ireland,England,Ben Stokes,2.2,0,8,1,3.42,7,0,0,0,0,T20I # 1846
England Vs Ireland,England,Chris Woakes,3,0,41,0,13.66,4,6,1,2,0,T20I # 1846
England Vs Ireland,England,Mark Wood,4,0,34,3,8.50,13,4,1,2,0,T20I # 1846
England Vs Ireland,England,Sam Curran,3,0,31,2,10.33,7,1,2,0,0,T20I # 1846
England Vs Ireland,England,Adil Rashid,4,0,24,0,6.00,6,1,0,0,0,T20I # 1846
England Vs Ireland,England,Liam Livingstone,3,0,17,3,5.66,5,1,0,0,0,T20I # 1846
England Vs Ireland,Ireland,Josh Little,3,0,16,2,5.33,11,2,0,2,0,T20I # 1846
England Vs Ireland,Ireland,Mark Adair,2,0,10,0,5.00,5,0,0,0,0,T20I # 1846
England Vs Ireland,Ireland,Barry McCarthy,3,0,20,1,6.66,7,1,0,3,0,T20I # 1846
England Vs Ireland,Ireland,Fionn Hand,2,0,17,1,8.50,6,1,0,4,0,T20I # 1846
England Vs Ireland,Ireland,Gareth Delany,3.3,0,33,0,9.42,5,3,1,1,0,T20I # 1846
England Vs Ireland,Ireland,George Dockrell,1,0,5,1,5.00,2,0,0,0,0,T20I # 1846
Bangladesh Vs South Africa,Bangladesh,Taskin Ahmed,3,0,46,1,15.33,7,6,2,0,3,T20I # 1847
Bangladesh Vs South Africa,Bangladesh,Mehidy Hasan Miraz,3,0,32,0,10.66,4,2,2,0,0,T20I # 1847
Bangladesh Vs South Africa,Bangladesh,Hasan Mahmud,4,0,36,1,9.00,11,3,2,2,0,T20I # 1847
Bangladesh Vs South Africa,Bangladesh,Mustafizur Rahman,4,0,25,0,6.25,7,1,1,0,0,T20I # 1847
Bangladesh Vs South Africa,Bangladesh,Mosaddek Hossain,2,0,16,0,8.00,5,1,1,0,0,T20I # 1847
Bangladesh Vs South Africa,Bangladesh,Shakib Al Hasan,3,0,33,2,11.00,7,1,3,0,1,T20I # 1847
Bangladesh Vs South Africa,Bangladesh,Afif Hossain,1,0,11,1,11.00,1,2,0,0,0,T20I # 1847
Bangladesh Vs South Africa,South Africa,Kagiso Rabada,3,0,24,1,8.00,8,1,2,1,0,T20I # 1847
Bangladesh Vs South Africa,South Africa,Wayne Parnell,2,0,18,0,9.00,3,0,1,1,0,T20I # 1847
Bangladesh Vs South Africa,South Africa,Anrich Nortje,3.3,0,10,4,2.85,16,1,0,0,0,T20I # 1847
Bangladesh Vs South Africa,South Africa,Keshav Maharaj,4,0,24,1,6.00,6,1,0,0,0,T20I # 1847
Bangladesh Vs South Africa,South Africa,Tabraiz Shamsi,4,0,20,3,5.00,12,0,1,2,0,T20I # 1847
Netherlands Vs India,Netherlands,Fred Klaassen,4,0,33,1,8.25,9,2,1,2,0,T20I # 1848
Netherlands Vs India,Netherlands,Tim Pringle,4,0,30,0,7.50,6,3,0,0,0,T20I # 1848
Netherlands Vs India,Netherlands,Paul van Meekeren,4,0,32,1,8.00,9,3,1,0,0,T20I # 1848
Netherlands Vs India,Netherlands,Bas de Leede,3,0,33,0,11.00,6,5,1,1,0,T20I # 1848
Netherlands Vs India,Netherlands,Logan van Beek,4,0,45,0,11.25,3,2,3,0,0,T20I # 1848
Netherlands Vs India,Netherlands,Shariz Ahmad,1,0,5,0,5.00,2,0,0,0,0,T20I # 1848
Netherlands Vs India,India,Bhuvneshwar Kumar,3,2,9,2,3.00,14,1,0,0,0,T20I # 1848
Netherlands Vs India,India,Arshdeep Singh,4,0,37,2,9.25,9,6,0,1,1,T20I # 1848
Netherlands Vs India,India,Mohammed Shami,4,0,27,1,6.75,10,2,0,0,0,T20I # 1848
Netherlands Vs India,India,Axar Patel,4,0,18,2,4.50,11,0,0,0,0,T20I # 1848
Netherlands Vs India,India,Hardik Pandya,1,0,9,0,9.00,1,0,0,1,0,T20I # 1848
Netherlands Vs India,India,Ravichandran Ashwin,4,0,21,2,5.25,13,1,1,1,0,T20I # 1848
Pakistan Vs Zimbabwe,Pakistan,Shaheen Shah Afridi,4,0,29,0,7.25,9,3,0,0,0,T20I # 1849
Pakistan Vs Zimbabwe,Pakistan,Naseem Shah,4,0,34,0,8.50,7,4,0,2,0,T20I # 1849
Pakistan Vs Zimbabwe,Pakistan,Mohammad Wasim,4,0,24,4,6.00,16,2,1,4,0,T20I # 1849
Pakistan Vs Zimbabwe,Pakistan,Haris Rauf,4,1,12,1,3.00,15,0,0,0,0,T20I # 1849
Pakistan Vs Zimbabwe,Pakistan,Shadab Khan,4,0,23,3,5.75,8,1,0,0,0,T20I # 1849
Pakistan Vs Zimbabwe,Zimbabwe,Richard Ngarava,4,0,24,0,6.00,15,2,1,2,0,T20I # 1849
Pakistan Vs Zimbabwe,Zimbabwe,Blessing Muzarabani,4,0,18,1,4.50,11,1,0,0,0,T20I # 1849
Pakistan Vs Zimbabwe,Zimbabwe,Brad Evans,4,0,25,2,6.25,12,2,1,0,0,T20I # 1849
Pakistan Vs Zimbabwe,Zimbabwe,Sikandar Raza,4,0,25,3,6.25,13,2,1,2,0,T20I # 1849
Pakistan Vs Zimbabwe,Zimbabwe,Luke Jongwe,1,0,10,1,10.00,2,2,0,0,0,T20I # 1849
Pakistan Vs Zimbabwe,Zimbabwe,Sean Williams,2,0,15,0,7.50,1,0,0,1,0,T20I # 1849
Pakistan Vs Zimbabwe,Zimbabwe,Ryan Burl,1,0,7,0,7.00,0,0,0,0,0,T20I # 1849
Sri Lanka Vs New Zealand,Sri Lanka,Maheesh Theekshana,4,0,35,1,8.75,7,2,2,1,0,T20I # 1850
Sri Lanka Vs New Zealand,Sri Lanka,Kasun Rajitha,4,0,23,2,5.75,16,3,0,1,2,T20I # 1850
Sri Lanka Vs New Zealand,Sri Lanka,Dhananjaya de Silva,2,0,14,1,7.00,4,1,0,0,0,T20I # 1850
Sri Lanka Vs New Zealand,Sri Lanka,Wanindu Hasaranga,4,0,22,1,5.50,9,1,0,0,0,T20I # 1850
Sri Lanka Vs New Zealand,Sri Lanka,Lahiru Kumara,3,0,37,1,12.33,2,2,2,2,1,T20I # 1850
Sri Lanka Vs New Zealand,Sri Lanka,Chamika Karunaratne,3,0,34,0,11.33,5,3,1,1,0,T20I # 1850
Sri Lanka Vs New Zealand,New Zealand,Tim Southee,4,1,12,1,3.00,18,0,1,1,0,T20I # 1850
Sri Lanka Vs New Zealand,New Zealand,Trent Boult,4,0,13,4,3.25,18,1,0,1,0,T20I # 1850
Sri Lanka Vs New Zealand,New Zealand,Lockie Ferguson,4,0,35,1,8.75,11,4,1,3,0,T20I # 1850
Sri Lanka Vs New Zealand,New Zealand,Mitchell Santner,4,0,21,2,5.25,13,3,0,0,0,T20I # 1850
Sri Lanka Vs New Zealand,New Zealand,Ish Sodhi,3.2,0,21,2,6.30,11,2,1,1,0,T20I # 1850
Zimbabwe Vs Bangladesh,Zimbabwe,Richard Ngarava,4,0,24,2,6.00,11,2,0,2,0,T20I # 1851
Zimbabwe Vs Bangladesh,Zimbabwe,Blessing Muzarabani,2,0,13,2,6.50,8,3,0,0,0,T20I # 1851
Zimbabwe Vs Bangladesh,Zimbabwe,Tendai Chatara,3,0,18,0,6.00,7,1,0,0,0,T20I # 1851
Zimbabwe Vs Bangladesh,Zimbabwe,Sikandar Raza,4,0,35,1,8.75,2,2,1,0,0,T20I # 1851
Zimbabwe Vs Bangladesh,Zimbabwe,Brad Evans,3,0,32,0,10.66,2,3,1,1,0,T20I # 1851
Zimbabwe Vs Bangladesh,Zimbabwe,Wessly Madhevere,2,0,18,0,9.00,0,1,0,0,0,T20I # 1851
Zimbabwe Vs Bangladesh,Zimbabwe,Sean Williams,2,0,10,1,5.00,4,0,0,1,0,T20I # 1851
Zimbabwe Vs Bangladesh,Bangladesh,Taskin Ahmed,4,1,19,3,4.75,15,3,0,0,0,T20I # 1851
Zimbabwe Vs Bangladesh,Bangladesh,Hasan Mahmud,4,0,36,0,9.00,8,5,0,3,0,T20I # 1851
Zimbabwe Vs Bangladesh,Bangladesh,Mosaddek Hossain,4,0,34,2,8.50,11,3,2,0,1,T20I # 1851
Zimbabwe Vs Bangladesh,Bangladesh,Mustafizur Rahman,4,0,15,2,3.75,11,0,0,0,0,T20I # 1851
Zimbabwe Vs Bangladesh,Bangladesh,Shakib Al Hasan,4,0,34,0,8.50,5,3,0,0,0,T20I # 1851
Pakistan Vs Netherlands,Pakistan,Shaheen Shah Afridi,4,0,19,1,4.75,13,1,0,1,0,T20I # 1852
Pakistan Vs Netherlands,Pakistan,Naseem Shah,4,0,11,1,2.75,15,0,0,0,0,T20I # 1852
Pakistan Vs Netherlands,Pakistan,Mohammad Wasim,3,0,15,2,5.00,10,1,0,1,0,T20I # 1852
Pakistan Vs Netherlands,Pakistan,Haris Rauf,3,0,10,1,3.33,11,1,0,0,0,T20I # 1852
Pakistan Vs Netherlands,Pakistan,Shadab Khan,4,0,22,3,5.50,11,2,0,0,0,T20I # 1852
Pakistan Vs Netherlands,Pakistan,Mohammad Nawaz,2,0,11,0,5.50,3,0,0,0,0,T20I # 1852
Pakistan Vs Netherlands,Netherlands,Fred Klaassen,3,0,26,0,8.66,4,3,0,0,0,T20I # 1852
Pakistan Vs Netherlands,Netherlands,Paul van Meekeren,4,0,19,1,4.75,15,2,0,0,0,T20I # 1852
Pakistan Vs Netherlands,Netherlands,Brandon Glover,2.5,0,22,2,7.76,9,3,0,0,0,T20I # 1852
Pakistan Vs Netherlands,Netherlands,Tim Pringle,1,0,12,0,12.00,1,2,0,0,0,T20I # 1852
Pakistan Vs Netherlands,Netherlands,Logan van Beek,2,0,9,0,4.50,5,0,0,0,0,T20I # 1852
Pakistan Vs Netherlands,Netherlands,Roelof van der Merwe,1,0,7,0,7.00,1,0,0,0,0,T20I # 1852
South Africa Vs India,South Africa,Wayne Parnell,4,1,15,3,3.75,16,0,1,0,0,T20I # 1853
South Africa Vs India,South Africa,Kagiso Rabada,4,0,26,0,6.50,13,2,1,1,0,T20I # 1853
South Africa Vs India,South Africa,Lungi Ngidi,4,0,29,4,7.25,10,3,1,0,0,T20I # 1853
South Africa Vs India,South Africa,Anrich Nortje,4,0,23,1,5.75,12,1,1,0,0,T20I # 1853
South Africa Vs India,South Africa,Keshav Maharaj,3,0,28,0,9.33,5,3,1,0,0,T20I # 1853
South Africa Vs India,South Africa,Aiden Markram,1,0,5,0,5.00,1,0,0,0,0,T20I # 1853
South Africa Vs India,India,Bhuvneshwar Kumar,3.4,0,21,0,5.72,13,2,1,0,0,T20I # 1853
South Africa Vs India,India,Arshdeep Singh,4,0,25,2,6.25,13,4,0,1,0,T20I # 1853
South Africa Vs India,India,Mohammed Shami,4,0,13,1,3.25,15,1,0,0,0,T20I # 1853
South Africa Vs India,India,Hardik Pandya,4,0,29,1,7.25,8,3,0,0,0,T20I # 1853
South Africa Vs India,India,Ravichandran Ashwin,4,0,43,1,10.75,5,1,4,0,0,T20I # 1853
Ireland Vs Australia,Ireland,Josh Little,4,0,21,2,5.25,13,2,0,2,0,T20I # 1855
Ireland Vs Australia,Ireland,Mark Adair,4,0,59,0,14.75,6,7,2,6,0,T20I # 1855
Ireland Vs Australia,Ireland,Barry McCarthy,4,0,29,3,7.25,7,2,0,1,0,T20I # 1855
Ireland Vs Australia,Ireland,Gareth Delany,3,0,29,0,9.66,10,2,2,2,0,T20I # 1855
Ireland Vs Australia,Ireland,Fionn Hand,1,0,15,0,15.00,2,0,2,1,0,T20I # 1855
Ireland Vs Australia,Ireland,George Dockrell,4,0,24,0,6.00,8,0,1,0,0,T20I # 1855
Ireland Vs Australia,Australia,Josh Hazlewood,3,0,24,0,8.00,8,1,2,1,0,T20I # 1855
Ireland Vs Australia,Australia,Pat Cummins,4,0,28,2,7.00,14,3,1,1,0,T20I # 1855
Ireland Vs Australia,Australia,Glenn Maxwell,2.1,0,14,2,6.46,6,2,0,0,0,T20I # 1855
Ireland Vs Australia,Australia,Mitchell Starc,4,1,43,2,10.75,11,8,0,2,1,T20I # 1855
Ireland Vs Australia,Australia,Adam Zampa,4,0,19,2,4.75,9,1,0,0,0,T20I # 1855
Ireland Vs Australia,Australia,Marcus Stoinis,1,0,6,1,6.00,2,0,0,0,0,T20I # 1855
